	kgs	m3				
CL3#1071	278	0,288				
CL3#1072	254	0,17				
CL3#1073	76	0,497				
CL3#1074	144	0,261				
CL3#1075	167	0,644				
CL3#1076	97	0,462				
CL3#1077	148	0,606				
CL3#1078	293	0,485				
CL3#1079	224	0,822				
CL3#1080	261	0,24				
CL3#1081	266	1,024				
CL3#1082	67	0,236				
CL3#1083	231	0,45				
CL3#1084	137	0,969				
CL3#1085	195	1,092				
CL3#1086	234	0,511				
CL3#1087	235	0,885				
CL3#1088	177	0,809				
CL3#1089	280	0,48				
CL3#1090	271	0,471				
CL3#1091	164	0,432				
CL3#1092	292	1,067				
CL3#1093	177	0,518				
CL3#1094	287	0,415				
CL3#1095	251	0,704				
CL3#1096	94	0,624				
CL3#1097	178	0,198				
CL3#1098	98	0,462				
CL3#1099	65	0,191				
CL3#1100	139	0,926				
CL3#1101	103	0,441				
CL3#1102	116	0,636				
CL3#1103	203	0,654				
CL3#1104	80	0,739				
CL3#1105	137	0,249				
CL3#1106	248	0,406				
CL3#1107	66	0,754				
CL3#1108	102	0,377				
CL3#1109	215	0,728				
CL3#1110	99	0,363				
CL3#1111	189	0,196				
CL3#1112	125	0,65				
CL3#1113	96	0,308				
CL3#1114	77	0,595				
CL3#1115	138	1,014				
CL3#1116	61	0,652				
CL3#1117	198	0,359				
CL3#1118	129	0,859				
CL3#1119	81	1,007				
CL3#1120	92	0,875				
CL3#1121	118	0,322				
CL3#1122	70	0,612				
CL3#1123	55	0,438				
CL3#1124	184	0,226				
CL3#1125	247	0,159				
CL3#1126	131	1,099				
CL3#1127	99	0,765				
CL3#1128	207	0,237				
CL3#1129	277	0,78				
CL3#1130	61	0,617				
CL3#1131	270	1,098				
CL3#1132	261	0,914				
CL3#1133	219	0,773				
CL3#1134	61	0,529				
CL3#1135	231	0,489				
CL3#1136	153	0,424				
CL3#1137	268	0,891				
CL3#1138	243	0,872				
CL3#1139	209	0,417				
CL3#1140	143	0,485				
CL3#1141	236	0,901				
CL3#1142	145	0,853				
CL3#1143	174	0,965				
CL3#1144	190	0,728				
CL3#1145	80	0,212				
CL3#1146	205	0,814				
CL3#1147	103	0,656				
CL3#1148	83	0,366				
CL3#1149	261	1,109				
CL3#1150	211	0,227				
CL3#1151	173	0,804				
CL3#1152	79	0,162				
CL3#1153	70	0,41				
CL3#1154	281	0,339				
CL3#1155	212	0,201				
CL3#1156	191	0,961				
CL3#1157	136	1,136				
CL3#1158	179	0,932				
CL3#1159	228	0,458				
CL3#1160	153	0,647				
CL3#1161	71	0,478				
CL3#1162	242	0,949				
CL3#1163	137	1,134				
CL3#1164	258	0,465				
CL3#1165	138	0,656				
CL3#1166	115	0,259				
CL3#1167	145	1,085				
CL3#1168	201	0,382				
CL3#1169	97	0,192				
CL3#1170	265	0,495				
CL3#1171	238	0,982				
CL3#1172	161	0,94				
CL3#1173	209	0,76				
CL3#1174	134	0,417				
CL3#1175	165	0,432				
CL3#1176	249	0,903				
CL3#1177	150	0,201				
CL3#1178	217	0,767				
CL3#1179	149	0,272				
CL3#1180	84	0,786				
CL3#1181	245	0,565				
CL3#1182	106	0,593				
CL3#1183	259	1,074				
CL3#1184	271	0,918				
CL3#1185	250	0,214				
CL3#1186	253	0,577				
CL3#1187	293	0,249				
CL3#1188	263	1,075				
CL3#1189	250	0,547				
CL3#1190	139	0,458				
CL3#1191	234	0,826				
CL3#1192	235	0,839				
CL3#1193	203	0,821				
CL3#1194	219	0,374				
CL3#1195	242	0,691				
CL3#1196	150	0,26				
CL3#1197	182	0,615				
CL3#1198	96	0,526				
CL3#1199	209	0,638				
CL3#1200	235	0,632				
CL3#1201	80	0,7				
CL3#1202	52	0,286				
CL3#1203	76	0,389				
CL3#1204	69	0,351				
CL3#1205	222	0,395				
CL3#1206	62	0,205				
CL3#1207	141	1,023				
CL3#1208	227	0,261				
CL3#1209	75	1,067				
CL3#1210	262	0,453				
CL3#1211	122	1,099				
CL3#1212	247	0,262				
CL3#1213	247	0,839				
CL3#1214	172	0,26				
CL3#1215	284	1,05				
CL3#1216	187	1				
CL3#1217	283	0,377				
CL3#1218	284	1,445				
CL3#1219	260	0,794				
CL3#1220	272	1,887				
CL3#1221	77	0,604				
CL3#1222	193	0,278				
CL3#1223	223	0,931				
CL3#1224	261	0,411				
CL3#1225	97	0,555				
CL3#1226	58	0,715				
CL3#1227	110	0,555				
CL3#1228	280	0,97				
CL3#1229	205	0,286				
CL3#1230	215	0,718				
CL3#1231	179	0,358				
CL3#1232	87	0,871				
CL3#1233	171	0,609				
CL3#1234	257	0,649				
CL3#1235	66	0,905				
CL3#1236	87	0,66				
CL3#1237	143	1,361				
CL3#1238	287	0,66				
CL3#1239	189	0,869				
CL3#1240	238	1,034				
CL3#1241	218	0,703				
CL3#1242	190	1,678				
CL3#1243	278	0,608				
CL3#1244	145	0,37				
CL3#1245	187	0,196				
CL3#1246	74	0,753				
CL3#1247	246	0,321				
CL3#1248	177	0,808				
CL3#1249	206	0,693				
CL3#1250	89	0,428				
						
						
